mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.01231074333190918,0.00042288188962309725,0.021486441294352215,0.0010639355533379998,,15,11,9,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 11, 'model__min_samples_split': 9}",0.631578947368421,0.5964912280701754,0.6140350877192983,0.6140350877192983,0.014324501419784667,5,0.5928792569659443,0.5606638975060028,0.5914000687994496,0.5816477410904656,0.014850101415834963,6,0.8229259191472839,0.8168469371299559,0.7803471514536168,0.8067066692436189,0.018803486187102404,5
0.012131373087565104,0.001137766922405969,0.023028214772542317,0.0018277396690449005,,7,19,12,"{'model__class_weight': None, 'model__max_depth': 7, 'model__min_samples_leaf': 19, 'model__min_samples_split': 12}",0.5789473684210527,0.5087719298245614,0.5964912280701754,0.5614035087719298,0.03789906841174185,10,0.5148829139037218,0.45625174046226674,0.5320328794013005,0.5010558445890964,0.032445709928000006,13,0.8057746800673194,0.7322679535449077,0.7956805879857676,0.7779077405326649,0.03253424135638841,15
0.012632608413696289,0.002061863565586153,0.021468242009480793,0.002108392542789172,,4,8,4,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_leaf': 8, 'model__min_samples_split': 4}",0.6491228070175439,0.6140350877192983,0.631578947368421,0.631578947368421,0.014324501419784667,2,0.6101703534197813,0.590424357014746,0.6106612685560053,0.6037519929968442,0.00942619258842905,1,0.7959421749851772,0.820668691064019,0.8065454920563896,0.8077187860351952,0.010128593631228101,4
0.018628517786661785,0.0008311669098269149,0.02631855010986328,0.0014416677770798007,balanced,2,12,7,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 12, 'model__min_samples_split': 7}",0.38596491228070173,0.2982456140350877,0.3684210526315789,0.3508771929824561,0.03789906841174187,19,0.34645926557283896,0.25548050161053254,0.31174192164904235,0.30456056294413797,0.037487445077551376,18,0.8086195090828384,0.76206649474282,0.8296735353514216,0.8001198463923599,0.028247255729270553,6
0.016394853591918945,0.003232156293387083,0.024493614832560223,0.0008295157967439967,balanced,1,12,13,"{'model__class_weight': 'balanced', 'model__max_depth': 1, 'model__min_samples_leaf': 12, 'model__min_samples_split': 13}",0.38596491228070173,0.3684210526315789,0.38596491228070173,0.38011695906432746,0.008270254750719854,17,0.23342839858266354,0.2070175438596491,0.2258260029157862,0.22209064845269957,0.011100989941553835,20,0.7623684088909654,0.7667331264871696,0.7389888476929193,0.7560301276903515,0.01218104012764138,18
0.01347819964090983,0.002108858585239779,0.02493898073832194,0.005968487306693289,,17,10,17,"{'model__class_weight': None, 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 17}",0.631578947368421,0.6140350877192983,0.6491228070175439,0.631578947368421,0.014324501419784667,2,0.5947368421052631,0.5768905224282799,0.629097133076594,0.600241499203379,0.021665771563644565,2,0.77697419019694,0.8326832099106731,0.7887043519507064,0.7994539173527732,0.023979694001609764,7
0.01185146967569987,0.0008341661629527399,0.02824886639912923,0.01045919648144775,,15,19,13,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 19, 'model__min_samples_split': 13}",0.5789473684210527,0.5087719298245614,0.5964912280701754,0.5614035087719298,0.03789906841174185,10,0.5148829139037218,0.45625174046226674,0.5320328794013005,0.5010558445890964,0.032445709928000006,13,0.8057746800673194,0.7322679535449077,0.7956805879857676,0.7779077405326649,0.03253424135638841,15
0.011608203252156576,0.002077426523668483,0.019525766372680664,0.0014230943691683686,,3,5,8,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8}",0.6666666666666666,0.5789473684210527,0.6842105263157895,0.6432748538011696,0.046046829672583674,1,0.6208269211039295,0.5285685478062974,0.6377458798511431,0.5957137829204566,0.04797863927606586,4,0.8311375565802752,0.7736854825429248,0.8464794422119463,0.8171008271117154,0.03133169291844848,3
0.010973691940307617,0.0005198191387145043,0.020876407623291016,0.0011578583695720467,,9,7,19,"{'model__class_weight': None, 'model__max_depth': 9, 'model__min_samples_leaf': 7, 'model__min_samples_split': 19}",0.5964912280701754,0.5789473684210527,0.631578947368421,0.6023391812865497,0.021881037349555193,6,0.5592188017212844,0.5285685478062974,0.6069112174375332,0.5648995223217049,0.03223451991413628,8,0.8538058945409559,0.780004334511672,0.854804120578176,0.8295381165436013,0.035028043865788075,1
0.01143344243367513,0.0005500486391307409,0.019315163294474285,0.0009818758379174046,balanced,14,18,10,"{'model__class_weight': 'balanced', 'model__max_depth': 14, 'model__min_samples_leaf': 18, 'model__min_samples_split': 10}",0.3684210526315789,0.40350877192982454,0.38596491228070173,0.3859649122807018,0.014324501419784667,16,0.36112698901249224,0.3908415592626119,0.3903004016856009,0.38075631665356835,0.013881788804312997,16,0.7908279892896038,0.8121940754746236,0.7952284187455096,0.7994168278365791,0.009211749300107187,8
0.012173175811767578,0.000817313564150984,0.01811059315999349,0.00047210090915379704,balanced,2,15,8,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 15, 'model__min_samples_split': 8}",0.2982456140350877,0.2807017543859649,0.3684210526315789,0.31578947368421056,0.03789906841174187,20,0.2384199364808783,0.2417603036798083,0.31174192164904235,0.2639740539365763,0.033804500712209536,19,0.789548265606833,0.7550590621401493,0.8294483101261965,0.7913518792910595,0.03039605040926483,10
0.010910669962565104,0.0005165966835727843,0.017207543055216473,0.001133165865059235,balanced,8,15,4,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 4}",0.3157894736842105,0.40350877192982454,0.42105263157894735,0.38011695906432746,0.04604682967258369,17,0.29403861223685385,0.3975891975891976,0.43092334942929167,0.37418371975178105,0.0582821877515423,17,0.7595051258337765,0.752000479679051,0.8131846499636444,0.7748967518254907,0.027246434462208518,17
0.011023918787638346,0.0008193668639261088,0.01978127161661784,0.001142290746322475,balanced,17,4,19,"{'model__class_weight': 'balanced', 'model__max_depth': 17, 'model__min_samples_leaf': 4, 'model__min_samples_split': 19}",0.5087719298245614,0.49122807017543857,0.6140350877192983,0.5380116959064328,0.05423168710816202,13,0.5280883547137417,0.5029315575690588,0.5938617466670023,0.5416272196499343,0.03833667060980725,9,0.796560838396513,0.7681103639380819,0.7885534227146885,0.7844082083497611,0.01197899483334228,12
0.010737737019856771,0.0019539622380010946,0.021955410639444988,0.0009460007848343641,balanced,4,2,7,"{'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__min_samples_leaf': 2, 'model__min_samples_split': 7}",0.543859649122807,0.5087719298245614,0.6491228070175439,0.5672514619883041,0.05963765512974017,8,0.5752329541803225,0.5344413665743306,0.6486075328180592,0.5860939511909041,0.04723663352911286,5,0.802319988633085,0.7357057829223898,0.8162223639154856,0.7847493784903201,0.035140429795286754,11
0.012685537338256836,0.00023703387602526802,0.019121170043945312,0.0006277790124564962,balanced,10,4,19,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 4, 'model__min_samples_split': 19}",0.5087719298245614,0.49122807017543857,0.6140350877192983,0.5380116959064328,0.05423168710816202,13,0.5280883547137417,0.5029315575690588,0.5938617466670023,0.5416272196499343,0.03833667060980725,9,0.796560838396513,0.7681103639380819,0.7885534227146885,0.7844082083497611,0.01197899483334228,12
0.011833747227986654,0.00022394196845384074,0.019731839497884113,0.0021273481296378727,balanced,12,2,11,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 11}",0.5789473684210527,0.47368421052631576,0.6140350877192983,0.5555555555555555,0.059637655129740196,12,0.5867178343958529,0.5037708650711747,0.6137828230707488,0.5680905075125922,0.0468037798034653,7,0.7836680891958889,0.711230297230971,0.8822092317306085,0.7923692060524895,0.07007249144789035,9
0.01774708429972331,0.005201805424806305,0.018066008885701496,0.0010751739415415646,balanced,4,14,17,"{'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__min_samples_leaf': 14, 'model__min_samples_split': 17}",0.42105263157894735,0.40350877192982454,0.5263157894736842,0.45029239766081863,0.054231687108162,15,0.4135039422284997,0.3975891975891976,0.5161329898172002,0.44240870987829917,0.05253425462569247,15,0.8042842599299531,0.752000479679051,0.7868860182217993,0.7810569192769344,0.021739092517289713,14
