mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.036947011947631836,0.0005813195831214965,0.029553810755411785,0.00321867347834895,,15,11,9,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 11, 'model__min_samples_split': 9}",0.5349105597230237,0.5242494226327945,0.539838337182448,0.5329994398460888,0.006506040710863076,6,0.5184078375793097,0.5125424053570371,0.5240650644883629,0.5183384358082366,0.004704361863813368,4,0.6575683788372058,0.6600694742294032,0.6611137976739663,0.6595838835801917,0.0014875813458912156,9
0.028604507446289062,0.0016865740733727176,0.02772680918375651,0.0038034131839901676,,7,19,12,"{'model__class_weight': None, 'model__max_depth': 7, 'model__min_samples_leaf': 19, 'model__min_samples_split': 12}",0.5452971725331794,0.5294457274826789,0.5271362586605081,0.5339597195587888,0.008072041935802615,5,0.5209923477006816,0.5018911510171147,0.5080334021478253,0.5103056336218739,0.00796183419361056,8,0.6723000674579211,0.6689114534138626,0.7246548248653445,0.6886221152457095,0.02551650182639468,3
0.023082653681437176,0.000252457944831462,0.02836290995279948,0.002631857056866195,,4,8,4,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_leaf': 8, 'model__min_samples_split': 4}",0.5372186959030583,0.5265588914549654,0.5184757505773672,0.5274177793117969,0.007675839417002806,9,0.5089884520132568,0.469952372215197,0.5024547970487635,0.49379854042573906,0.017071456988061763,9,0.6996470498839583,0.7443538996047042,0.7319084974300798,0.7253031489729141,0.01883964922123508,1
0.01970648765563965,0.0017012822884232208,0.024114688237508137,0.0016525312259810397,balanced,2,12,7,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 12, 'model__min_samples_split': 7}",0.3190998268897865,0.05138568129330254,0.32274826789838335,0.2310779253604908,0.12707033410379406,18,0.1715280778169435,0.05066302370192162,0.1987252883913473,0.14030546330340413,0.06435188315833602,18,0.519452703710879,0.5767912611739383,0.5646763153106992,0.5536400933985055,0.024674902074206567,18
0.018201112747192383,0.0020173670067953277,0.026577552159627277,0.0029714870338086135,balanced,1,12,13,"{'model__class_weight': 'balanced', 'model__max_depth': 1, 'model__min_samples_leaf': 12, 'model__min_samples_split': 13}",0.0051933064050779,0.003464203233256351,0.004618937644341801,0.004425482427558684,0.0007190355278085069,20,6.312940759377831e-05,3.5893455710823424e-05,4.2767941151312976e-05,4.72636014853049e-05,1.1564528816504075e-05,20,0.5400027880140412,0.5952689301546484,0.5006805352239058,0.5453174177975318,0.03879798174471803,20
0.037363688151041664,0.0023896101783529205,0.025153716405232746,0.0005138952439736359,,17,10,17,"{'model__class_weight': None, 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 17}",0.5354875937680323,0.5248267898383372,0.5352193995381063,0.5318445943814919,0.0049635449355397805,7,0.517522063334403,0.5139843103596448,0.5218522001930687,0.5177861912957055,0.0032174778209730424,5,0.6631328985159334,0.672373179277024,0.6553288584701786,0.6636116454210453,0.006966544666764206,6
0.03663500150044759,0.0020024036865231142,0.02849586804707845,0.005139866872259882,,15,19,13,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 19, 'model__min_samples_split': 13}",0.5383727639930755,0.5236720554272517,0.5404157043879908,0.534153507936106,0.007458285611131663,4,0.5170777432616099,0.5031291719051052,0.5202868373397628,0.5134979175021593,0.0074479408851453955,7,0.6504142903041759,0.6725544790469958,0.6677959987634765,0.663588256038216,0.00951580487131487,7
0.020505587259928387,0.0012862447653620925,0.024473031361897785,0.001607350613439435,,3,5,8,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8}",0.5199076745527986,0.5184757505773672,0.5225173210161663,0.520300248715444,0.0016731524652237296,10,0.49220115347553867,0.4922626631547117,0.45257856812662384,0.47901412825229145,0.018692780696095777,10,0.6770744262253297,0.718090901830201,0.7217300241260846,0.7056317840605385,0.020247679993309814,2
0.03484328587849935,0.001531271152933112,0.023969491322835285,0.0016362583804741186,,9,7,19,"{'model__class_weight': None, 'model__max_depth': 9, 'model__min_samples_leaf': 7, 'model__min_samples_split': 19}",0.5568378534333526,0.5202078521939953,0.5161662817551963,0.5310706624608481,0.018294710908950008,8,0.5399983051054992,0.5033722175001789,0.5040816774308828,0.515817400012187,0.017100934900313638,6,0.6671524985079781,0.666286894529078,0.6368468630408198,0.656762085359292,0.014086621964537837,10
0.040067593256632485,0.0010352407663968576,0.023431857426961262,0.0002397884381108289,balanced,14,18,10,"{'model__class_weight': 'balanced', 'model__max_depth': 14, 'model__min_samples_leaf': 18, 'model__min_samples_split': 10}",0.3410271206001154,0.371824480369515,0.3493071593533487,0.3540529201076597,0.013013096634911733,17,0.38027215007640464,0.4110220869735822,0.3858549933087112,0.3923830767862327,0.013375389345416397,15,0.6274546498454422,0.628910406253693,0.6431227691997162,0.6331626084329506,0.007067927963927651,11
0.0177462895711263,0.00041003866197231235,0.021848201751708984,0.0007265959698424967,balanced,2,15,8,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 15, 'model__min_samples_split': 8}",0.3190998268897865,0.05138568129330254,0.32274826789838335,0.2310779253604908,0.12707033410379406,18,0.1715280778169435,0.05066302370192162,0.1987252883913473,0.14030546330340413,0.06435188315833602,18,0.519452703710879,0.5767912611739383,0.5646763153106992,0.5536400933985055,0.024674902074206567,18
